Requirement Text,Requirement Type,Source Dataset
"Any administrative level user can delegate actions to another user, acquiring the role of inventory administrator.",Functional,Mendeley SRS
"Output reports include asset reports by location, request reports, and user permission reports.",Functional,Mendeley SRS
"User shall ensure that the learning time for the application is between 2 to 4 hours, catering to working students.",Non-Functional,Mendeley SRS
Web interface shall use clear and consistent terminology for ease of use by users with basic internet and office experience.,Non-Functional,Mendeley SRS
"The application should be available at all working hours, with maintenance or backup operations conducted outside of working hours.",Non-Functional,Mendeley SRS
"The application should be installable on Microsoft or Unix platforms and compatible with browsers such as IE, Firefox, Chrome, Opera, or Safari.",Non-Functional,Mendeley SRS
"User authentication shall be done via username and password, with permissions assigned according to user roles.",Non-Functional,Mendeley SRS
Only IT team members can access and maintain database servers locally.,Non-Functional,Mendeley SRS
Queries exceeding 1 minute should be terminated.,Non-Functional,Mendeley SRS
Backup operations should be executed periodically to ensure data safety.,Non-Functional,Mendeley SRS
The system should be designed to facilitate future evolution and maintenance operations.,Non-Functional,Mendeley SRS
User shall control heating and cooling units defined in the THEMAS system.,Functional,Mendeley SRS
System shall read initialization data to derive definitions of heating and cooling units.,Functional,Mendeley SRS
System shall use initialization data to determine heating and cooling units in the system.,Functional,Mendeley SRS
System shall load thermostat definitions from initialization data.,Functional,Mendeley SRS
System shall identify each thermostat using unique identifiers.,Functional,Mendeley SRS
System shall load maximum number of concurrently running heating or cooling units from initialization data.,Functional,Mendeley SRS
System shall set trigger values for turning heating or cooling units on or off based on initialization data.,Functional,Mendeley SRS
System shall set overtemperature values to prevent temperature deviations beyond 3 degrees Fahrenheit.,Functional,Mendeley SRS
System shall establish valid temperature range based on initialization data.,Functional,Mendeley SRS
"Upon initialization, system shall turn off all heating and cooling units and check thermostat settings.",Functional,Mendeley SRS
System shall process current temperature values and thermostat settings to determine if heating or cooling units need to be turned on.,Functional,Mendeley SRS
System shall validate temperature data from thermostats to ensure it is within specified range.,Functional,Mendeley SRS
System shall recognize and process both current temperature and temperature setting data from thermostats.,Functional,Mendeley SRS
System shall output invalid temperature status if temperature data is outside valid range.,Functional,Mendeley SRS
System shall output valid temperature status if temperature data is within valid range.,Functional,Mendeley SRS
System shall determine when reported temperature exceeds specified limits and generate appropriate alarms.,Functional,Mendeley SRS
System shall compare reported temperature to temperature setting to detect temperature limit exceedance.,Functional,Mendeley SRS
System shall output temperature trigger exceeded status if temperature limit is exceeded.,Functional,Mendeley SRS
System shall output temperature limit exceeded status if temperature limit is exceeded.,Functional,Mendeley SRS
System shall activate heating or cooling units based on temperature trigger exceedance.,Functional,Mendeley SRS
System shall process temperature data to determine if heating or cooling unit activation is necessary.,Functional,Mendeley SRS
System shall output request to turn on or off heating or cooling unit based on temperature data.,Functional,Mendeley SRS
